PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39965841","[A simulation study for handling two-way treatment switching in rare event scenarios]","Wu WK, He Q, Yao MH, Xu JY, Wang W, Sun X.","Zhonghua Liu Xing Bing Xue Za Zhi. 2025 Feb 10;46(2):334-344. doi: 10.3760/cma.j.cn112338-20240522-00295.","Wu WK","Zhonghua Liu Xing Bing Xue Za Zhi","2025","2025/02/18","","","10.3760/cma.j.cn112338-20240522-00295"
"40025432","Addressing challenges with Matching-Adjusted Indirect Comparisons to demonstrate the comparative effectiveness of entrectinib in metastatic ROS-1 positive Non-Small Cell Lung Cancer","Esnault C, Baschet L, Barbet V, Chenuc G, Pérol M, Thokagevistk K, Pau D, Monnereau M, Bosquet L, Filleron T.","BMC Med Res Methodol. 2025 Mar 1;25(1):57. doi: 10.1186/s12874-025-02500-w.","Esnault C","BMC Med Res Methodol","2025","2025/03/02","PMC11872303","","10.1186/s12874-025-02500-w"
"40072429","Estimation and Hypothesis Testing of Strain-Specific Vaccine Efficacy With Missing Strain Types With Application to a COVID-19 Vaccine Trial","Heng F, Sun Y, Li L, B Gilbert P.","Stat Med. 2025 Mar 15;44(6):e10345. doi: 10.1002/sim.10345.","Heng F","Stat Med","2025","2025/03/12","PMC11906172","NIHMS2050383","10.1002/sim.10345"
"40192015","Estimating weighted quantile treatment effects with missing outcome data by double sampling","Sun S, Haneuse S, Levis AW, Lee C, Arterburn DE, Fischer H, Shortreed S, Mukherjee R.","Biometrics. 2025 Apr 2;81(2):ujaf038. doi: 10.1093/biomtc/ujaf038.","Sun S","Biometrics","2025","2025/04/07","PMC11973573","","10.1093/biomtc/ujaf038"
"40195067","Bayesian Proactive Dynamic Borrowing Utilizing Propensity Score Overlap for a Hybrid Control Arm and the Impacts of Various Biases: A Simulation Study","Wang K, Cao H, Yao C.","J Evid Based Med. 2025 Jun;18(2):e70022. doi: 10.1111/jebm.70022.","Wang K","J Evid Based Med","2025","2025/04/08","","","10.1111/jebm.70022"
"40205184","Efficacy of reverse shoulder arthroplasty compared with superior capsular reconstruction in patients with posterosuperior irreparable rotator cuff tears without arthritis: a propensity score matching study","Baek CH, Lim C, Kim JG, Kim BT, Kim SJ.","Arch Orthop Trauma Surg. 2025 Apr 9;145(1):231. doi: 10.1007/s00402-025-05861-5.","Baek CH","Arch Orthop Trauma Surg","2025","2025/04/09","","","10.1007/s00402-025-05861-5"
"40243184","PS-SAM: propensity-score-integrated self-adapting mixture prior to dynamically and efficiently borrow information from historical data","Zhao Y, Yang P, Laird G, Chen J, Yuan Y.","J Biopharm Stat. 2025 Oct;35(6):1067-1082. doi: 10.1080/10543406.2025.2489284. Epub 2025 Apr 17.","Zhao Y","J Biopharm Stat","2025","2025/04/17","PMC12353383","NIHMS2078480","10.1080/10543406.2025.2489284"
"40276874","Selection Biases in Perinatal Research: A Comparison of Inverse Probability Weighting, Instrumental Variable and Sibling-Comparison Design","Dib BN, Caniglia EC, Brummel S, Shapiro R, Swanson SA.","Paediatr Perinat Epidemiol. 2026 Feb;40(2):147-157. doi: 10.1111/ppe.70021. Epub 2025 Apr 25.","Dib BN","Paediatr Perinat Epidemiol","2026","2025/04/25","PMC12353985","NIHMS2070977","10.1111/ppe.70021"
"40342636","Exploring the metabolic signature of intermittent explosive disorder: Preliminary evidence and potential mechanisms for altered bilirubin metabolism","Schwimmer JB, Stein MB, Coccaro EF, Meruelo AD.","Compr Psychoneuroendocrinol. 2025 Apr 22;22:100294. doi: 10.1016/j.cpnec.2025.100294. eCollection 2025 May.","Schwimmer JB","Compr Psychoneuroendocrinol","2025","2025/05/09","PMC12060501","","10.1016/j.cpnec.2025.100294"
"40426044","Comparison of methods to handle missing values in a continuous index test in a diagnostic accuracy study - a simulation study","Stahlmann K, Kellerhuis B, Reitsma JB, Dendukuri N, Zapf A.","BMC Med Res Methodol. 2025 May 27;25(1):147. doi: 10.1186/s12874-025-02594-2.","Stahlmann K","BMC Med Res Methodol","2025","2025/05/27","PMC12107930","","10.1186/s12874-025-02594-2"
"40454311","Evaluating the Clinical Benefit of Carbapenem-Resistant Enterobacteriaceae Screening in a Tertiary Care Center in Saudi Arabia","Mahmoud E, Alhameed AF, Almukhtar A, Desai S.","Infect Drug Resist. 2025 May 26;18:2679-2686. doi: 10.2147/IDR.S518397. eCollection 2025.","Mahmoud E","Infect Drug Resist","2025","2025/06/02","PMC12124297","","10.2147/IDR.S518397"
"40457713","Use of Machine Learning to Compare Disease Risk Scores and Propensity Scores Across Complex Confounding Scenarios: A Simulation Study","Guo Y, Strauss VY, Khalid S, Prieto-Alhambra D.","Pharmacoepidemiol Drug Saf. 2025 Jun;34(6):e70165. doi: 10.1002/pds.70165.","Guo Y","Pharmacoepidemiol Drug Saf","2025","2025/06/03","PMC12130674","","10.1002/pds.70165"
"40478856","Instability of estimation results based on caliper matching with propensity scores","Maruo K, Yamaguchi Y, Ishii R, Gosho M.","PLoS One. 2025 Jun 6;20(6):e0325317. doi: 10.1371/journal.pone.0325317. eCollection 2025.","Maruo K","PLoS One","2025","2025/06/06","PMC12143538","","10.1371/journal.pone.0325317"
"40568794","Bayesian dynamic power prior borrowing for augmenting a control arm for survival analysis","Wang J, Sengupta S, Tiwari R.","J Biopharm Stat. 2025 Jun 26:1-22. doi: 10.1080/10543406.2025.2519153. Online ahead of print.","Wang J","J Biopharm Stat","2025","2025/06/26","","","10.1080/10543406.2025.2519153"
"40642290","Communication-Efficient Distributed Estimation of Causal Effects With High-Dimensional Data","Wang X, Tong J, Peng S, Chen Y, Ning Y.","Stat. 2024 Sep;13(3):e70006. doi: 10.1002/sta4.70006. Epub 2024 Sep 9.","Wang X","Stat","2024","2025/07/11","PMC12245182","NIHMS2087382","10.1002/sta4.70006"
"40672084","Impact of postoperative chemotherapy on the prognosis of combined hepatocellular-cholangiocarcinoma: a retrospective study based on the SEER database","Lu Y, Zheng L, Mei H.","J Gastrointest Oncol. 2025 Jun 30;16(3):1220-1232. doi: 10.21037/jgo-2024-1022. Epub 2025 Jun 27.","Lu Y","J Gastrointest Oncol","2025","2025/07/17","PMC12261036","","10.21037/jgo-2024-1022"
"40688312","Impact of platinum-based adjuvant chemotherapy on the effectiveness of IB-IIIA non-small cell lung adenocarcinoma with varying EGFR mutation statuses: a propensity score matching analysis","Xiao Y, Wang Z, Yang X, Ning W, Deng X, Xu G.","J Thorac Dis. 2025 Jun 30;17(6):3924-3934. doi: 10.21037/jtd-2025-107. Epub 2025 Jun 23.","Xiao Y","J Thorac Dis","2025","2025/07/21","PMC12268505","","10.21037/jtd-2025-107"
"40739943","A Tutorial on Improving RCT Power Using Prognostic Score Adjustment for Linear Models","Højbjerre-Frandsen E, Jeppesen ML, Jensen RK, Dethlefsen C, Waagepetersen R.","Pharm Stat. 2025 Sep-Oct;24(5):e70028. doi: 10.1002/pst.70028.","Højbjerre-Frandsen E","Pharm Stat","2025","2025/07/31","","","10.1002/pst.70028"
"40772805","Assessing Covariate Balance With Small Sample Sizes","Hripcsak G, Zhang L, Chen Y, Li K, Suchard MA, Ryan PB, Schuemie MJ.","Stat Med. 2025 Aug;44(18-19):e70212. doi: 10.1002/sim.70212.","Hripcsak G","Stat Med","2025","2025/08/07","PMC13036809","NIHMS2156371","10.1002/sim.70212"
"40775986","Correcting Performance Metrics Bias During Generalization from Biased Samples to Populations","Han P, Zhang G, Vydiswaran VGV.","Stud Health Technol Inform. 2025 Aug 7;329:891-895. doi: 10.3233/SHTI250968.","Han P","Stud Health Technol Inform","2025","2025/08/08","","","10.3233/SHTI250968"
"40809273","Real-world efficacy of atezolizumab combined with etoposide and platinum chemotherapy in extensive-stage small cell lung cancer: a retrospective cohort study","Jing Y, Zhao Y, Zhou Z, Li X, Dempke WCM, Hofman P, Wang M, Sun D.","J Thorac Dis. 2025 Jul 31;17(7):5210-5222. doi: 10.21037/jtd-2025-1049. Epub 2025 Jul 25.","Jing Y","J Thorac Dis","2025","2025/08/14","PMC12340325","","10.21037/jtd-2025-1049"
"40809738","Role of placebo samples in observational studies","Ye T, He Q, Chen S, Zhang B.","J Causal Inference. 2025 Jan;13(1):20230020. doi: 10.1515/jci-2023-0020. Epub 2025 Mar 5.","Ye T","J Causal Inference","2025","2025/08/14","PMC12345972","NIHMS2051913","10.1515/jci-2023-0020"
"40820181","Causal effect estimation on restricted mean survival time under case-cohort design via propensity score stratification","Lu WE, Ni A.","Lifetime Data Anal. 2025 Oct;31(4):898-931. doi: 10.1007/s10985-025-09667-w. Epub 2025 Aug 18.","Lu WE","Lifetime Data Anal","2025","2025/08/17","PMC12586416","","10.1007/s10985-025-09667-w"
"40956270","Surgical vs Percutaneous Spinal Cord Stimulation for Persistent Spinal Pain Syndrome Type 2: A Digital Pain Mapping and Pain Coverage Quantitative Assessment Combined With Multidimensional Clinical Outcome Study","Taïbi T, Billot M, Ounajim A, Moens M, Goudman L, Bouche B, Page P, Roulaud M, David R, Rigoard P.","Neuromodulation. 2026 Jan;29(1):139-149. doi: 10.1016/j.neurom.2025.07.009. Epub 2025 Sep 16.","Taïbi T","Neuromodulation","2026","2025/09/16","","","10.1016/j.neurom.2025.07.009"
"40988329","Causal Machine Learning Methods and Use of Cross-Fitting in Settings With High-Dimensional Confounding","Ellul S, Vansteelandt S, Carlin JB, Moreno-Betancur M.","Stat Med. 2025 Sep;44(20-22):e70272. doi: 10.1002/sim.70272.","Ellul S","Stat Med","2025","2025/09/24","PMC12457817","","10.1002/sim.70272"
"41020767","Association between rivaroxaban and the prognosis of patients with acute myocardial infarction and new-onset atrial fibrillation","Zheng Y, Liu Y, Zheng X, Tse G, Lip GYH, Chen KY, Liu T.","Postgrad Med J. 2026 Feb 13;102(1205):271-282. doi: 10.1093/postmj/qgaf163.","Zheng Y","Postgrad Med J","2026","2025/09/29","","","10.1093/postmj/qgaf163"
"41077695","Doubly Robust Estimators for Heterogeneous Treatment Effects in Heteroskedastic Survival Data","Yang Y, Hu W, Liao Z, Chen F.","Stat Med. 2025 Oct;44(23-24):e70301. doi: 10.1002/sim.70301.","Yang Y","Stat Med","2025","2025/10/13","","","10.1002/sim.70301"
"41079020","Spinal cord stimulation for the treatment of painful diabetic neuropathy and risk of major adverse cardiovascular events, mortality, amputation, infection and suicide: a retrospective cohort study","Henney AE, Frank B, Riley DR, Anson M, Burgess J, Hernadez G, Lip GYH, Malik RA, Tesfaye S, Cuthbertson DJ, Alam U.","EClinicalMedicine. 2025 Sep 26;89:103489. doi: 10.1016/j.eclinm.2025.103489. eCollection 2025 Nov.","Henney AE","EClinicalMedicine","2025","2025/10/13","PMC12508579","","10.1016/j.eclinm.2025.103489"
"41103314","Impact of iodine nutritional levels in urban and rural pregnant women on neonatal growth indicators: a cohort study in Xinjiang, China","Zhou J, Tayier R, Abuduwaili D, Muhetaer D, Wang C, Pan K.","Front Nutr. 2025 Oct 1;12:1668818. doi: 10.3389/fnut.2025.1668818. eCollection 2025.","Zhou J","Front Nutr","2025","2025/10/17","PMC12520962","","10.3389/fnut.2025.1668818"
"41166759","Enhanced doubly robust estimate with semiparametric models for causal inference of survival outcome","Wu T, Yuan A, Tan M.","Int J Biostat. 2025 Oct 31;21(2):285-298. doi: 10.1515/ijb-2023-0131. eCollection 2025 Nov 1.","Wu T","Int J Biostat","2025","2025/10/30","","","10.1515/ijb-2023-0131"
"41172039","Using inverse probability of censoring weighting to estimate hypothetical estimands in clinical trials: Should we implement stabilisation, and if so how?","Xuan J, Mt-Isa S, Latimer NR, Bell Gorrod H, Malbecq W, Vandormael K, Yorke-Edwards V, White IR.","Stat Methods Med Res. 2026 Jan;35(1):40-60. doi: 10.1177/09622802251387456. Epub 2025 Oct 31.","Xuan J","Stat Methods Med Res","2026","2025/10/31","PMC12783383","","10.1177/09622802251387456"
"41184919","Causal Forests Versus Inverse Probability of Treatment Weighting to Adjust for Cluster-Level Confounding: A Parametric and Plasmode Simulation Study Based on US Hospital Electronic Health Record Data","Du M, Johnston S, Coplan PM, Strauss VY, Khalid S, Prieto-Alhambra D.","Pharmacoepidemiol Drug Saf. 2025 Nov;34(11):e70257. doi: 10.1002/pds.70257.","Du M","Pharmacoepidemiol Drug Saf","2025","2025/11/04","PMC12583492","","10.1002/pds.70257"
"41198438","Initial Clinical Outcomes of Hypothermic Machine Perfusion in Deceased Donor Kidney Transplantation: A Pilot Comparative Feasibility Study from South Korea","Chang WB, Baik J, Kim M.","Transplant Proc. 2025 Dec;57(10):1863-1868. doi: 10.1016/j.transproceed.2025.10.009. Epub 2025 Nov 5.","Chang WB","Transplant Proc","2025","2025/11/06","","","10.1016/j.transproceed.2025.10.009"
"41268967","Association Between a Co-Designed Dashboard and Use of Costly Health Services in Patients With Chronic Kidney Disease and Advanced Cancer: Propensity Score-Adjusted Difference-in-Differences Study","Amagai S, Harris A, Mohindra N, Kircher S, Linder JA, Aggarwal V, Peipert JD, Bedjeti K, Mai Q, Barnard C, Coughlin A, O'Connor M, Morken V, Cella D, Jordan N.","J Med Internet Res. 2025 Nov 21;27:e70430. doi: 10.2196/70430.","Amagai S","J Med Internet Res","2025","2025/11/21","PMC12680935","","10.2196/70430"
"41322057","Effect of anticoagulation on isolated traumatic brain injury mortality using TQIP database: a propensity score analysis stratified by head injury severity","Kulvatunyou N, Bauman ZM, Ramirez AD, Cordy B, Sherman WS, Jarrin G, Tompeck A, Dabrowski P, Feinstein A, Keric N.","Trauma Surg Acute Care Open. 2025 Nov 23;10(4):e001839. doi: 10.1136/tsaco-2025-001839. eCollection 2025.","Kulvatunyou N","Trauma Surg Acute Care Open","2025","2025/12/01","PMC12658513","","10.1136/tsaco-2025-001839"
"41402178","Comparison of Postoperative Adjuvant CTACE vs DEB-TACE Combined with Tislelizumab and Lenvatinib in BCLC Stage B/C Hepatocellular Carcinoma: A Propensity Score-Matched Analysis of Survival Outcomes","Shi Y, Yang L, Li X, Zhang H, Jiang H, Chen K, Shi Z.","Acad Radiol. 2026 Mar;33(3):990-1004. doi: 10.1016/j.acra.2025.11.046. Epub 2025 Dec 16.","Shi Y","Acad Radiol","2026","2025/12/16","","","10.1016/j.acra.2025.11.046"
"41478544","Uterine incision-to-delivery interval and neonatal outcomes among nonurgent, term, cesarean deliveries","Bart Y, Sibai BM, Fishel Bartal M, Mazaki-Tovi S, Yoeli R.","Am J Obstet Gynecol. 2026 May;234(5):1459-1469. doi: 10.1016/j.ajog.2025.12.059. Epub 2025 Dec 30.","Bart Y","Am J Obstet Gynecol","2026","2026/01/01","","","10.1016/j.ajog.2025.12.059"
"41521094","Comparison of the Oncologic Outcomes of Cryoablation, Laser Ablation, and Hyperthermia for Localized Prostate Cancer: A Population-Based Cohort Study Using the SEER Database","Guo RQ, Sun J, Bie ZX, Li YM.","Clin Genitourin Cancer. 2026 Feb;24(1):102490. doi: 10.1016/j.clgc.2025.102490. Epub 2025 Dec 19.","Guo RQ","Clin Genitourin Cancer","2026","2026/01/11","","","10.1016/j.clgc.2025.102490"
"41522143","Segmentectomy versus lobectomy for stage I non-small cell lung cancer: a real-world propensity score-matched analysis","Kanani F, Rozenblum R, Mahajna N, Aotman K, Salhab A, Shimonov M, Nugzar R, Abu Akar F.","J Thorac Dis. 2025 Dec 31;17(12):11118-11130. doi: 10.21037/jtd-2025-1715. Epub 2025 Dec 29.","Kanani F","J Thorac Dis","2025","2026/01/12","PMC12780387","","10.21037/jtd-2025-1715"
"41573163","Electroacupuncture to Improve Bowel Function in Patients with LARS after Low Anterior Resection for Rectal Cancer: Protocol of a Multicenter Cohort Study","Wang M, Liu H, He L, Xu J, Hou W, Wang F, Cao X, Wang X, Lyu Y, Chen H, Liu J.","Med Acupunct. 2025 Dec 8;37(6):459-465. doi: 10.1089/acu.2024.0070. eCollection 2025 Dec.","Wang M","Med Acupunct","2025","2026/01/23","PMC12820657","","10.1089/acu.2024.0070"
"41649932","A hybrid prior Bayesian method for combining domestic real-world data and overseas data in global drug development","Chen K, Zheng Z, Zhu P, Jiang S, Li N, Deng J, Chen P, Wu Z, Wu Y.","Stat Methods Med Res. 2026 Mar;35(3):552-570. doi: 10.1177/09622802251414586. Epub 2026 Feb 6.","Chen K","Stat Methods Med Res","2026","2026/02/06","","","10.1177/09622802251414586"
"41663935","BIRTH: Bayesian integration of real-world data for trials with hybrid arms","Wang W, Chen X, Li B, Jiang L, Yan F.","BMC Med Res Methodol. 2026 Feb 9;26(1):58. doi: 10.1186/s12874-026-02789-1.","Wang W","BMC Med Res Methodol","2026","2026/02/09","PMC12983839","","10.1186/s12874-026-02789-1"
"41665316","Sample Size Re-Estimation in Blinded Hybrid-Control Design Using Inverse Probability Weighting","Kojima M, Orihara S, Hanada K, Ohigashi T.","Stat Med. 2026 Feb;45(3-5):e70429. doi: 10.1002/sim.70429.","Kojima M","Stat Med","2026","2026/02/10","","","10.1002/sim.70429"
"41722488","Progression-free survival with darolutamide and docetaxel vs. androgen receptor pathway inhibitors vs. docetaxel in metastatic hormone-sensitive prostate cancer: A real-world multicenter retrospective study","Rinderknecht E, Bielstein G, Cathomas R, Schlack K, Bastian JLD, Darr C, Unland-Gies D, Kappler P, Paffenholz P, Richter J, Müller M, Seitz AK, Steinestel J, Heidegger I, Burger M, Breyer J, Schnabel MJ.","Urol Oncol. 2026 Apr;44(4):111028. doi: 10.1016/j.urolonc.2026.111028. Epub 2026 Feb 20.","Rinderknecht E","Urol Oncol","2026","2026/02/21","","","10.1016/j.urolonc.2026.111028"
"41762058","Machine learning to optimize precision in the analysis of randomized trials: A journey in pre-specified, yet data-adaptive learning","Balzer LB, van der Laan MJ, Petersen ML.","Clin Trials. 2026 Feb 28:17407745261417227. doi: 10.1177/17407745261417227. Online ahead of print.","Balzer LB","Clin Trials","2026","2026/02/28","PMC12952679","NIHMS2135708","10.1177/17407745261417227"
"41778865","Effectiveness of Qingdu Suppository on Persistent HR-HPV and Associated Factors: A Retrospective Study","Qiao X, Fu H, Geng W, Lou J.","J Low Genit Tract Dis. 2026 Mar 4. doi: 10.1097/LGT.0000000000000937. Online ahead of print.","Qiao X","J Low Genit Tract Dis","2026","2026/03/04","","","10.1097/LGT.0000000000000937"
"41912120","Comparative outcomes of daptomycin and linezolid in vancomycin-resistant enterococcal intra-abdominal infections with bacteraemia","Tsai TY, Chuang YC, Yang JL, Lin CY, Huang SH, Wang JT, Chen YC, Chang SC.","Int J Antimicrob Agents. 2026 Mar 28;67(7):107792. doi: 10.1016/j.ijantimicag.2026.107792. Online ahead of print.","Tsai TY","Int J Antimicrob Agents","2026","2026/03/30","","","10.1016/j.ijantimicag.2026.107792"
"41930884","Association between full-scope practice, schedule balance, and burnout among nurses in health professional shortage areas: A cross-sectional study","Li X, Zhu J, Park JM, Hong YR.","Int J Nurs Stud. 2026 Jul;179:105516. doi: 10.1016/j.ijnurstu.2026.105516. Epub 2026 Mar 14.","Li X","Int J Nurs Stud","2026","2026/04/03","","","10.1016/j.ijnurstu.2026.105516"
"41933357","Single-stage open window thoracostomy with simultaneous muscle flap transposition and early negative pressure wound therapy for chronic empyema: a propensity score- and machine learning-based study","Hayashi D, Kojima K, Tokunaga T, Okishio K, Yoon H.","J Cardiothorac Surg. 2026 Apr 3;21(1):235. doi: 10.1186/s13019-026-03997-y.","Hayashi D","J Cardiothorac Surg","2026","2026/04/03","PMC13173702","","10.1186/s13019-026-03997-y"
"41939429","Efficacy and Cost-Effectiveness Analyses of Entecavir versus Tenofovir Amibufenamide in Patients with Chronic Hepatitis B","Zeng Y, Jiang D, Guo L, Chen Y, Weng J, Liu X, Qin S, Kong M, Zhou Z, Zhang X.","Drug Des Devel Ther. 2026 Jan 8;20:553277. doi: 10.2147/DDDT.S553277. eCollection 2026.","Zeng Y","Drug Des Devel Ther","2026","2026/04/06","PMC13045854","","10.2147/DDDT.S553277"
"41960340","Post-matching analysis after coarsened exact matching: implications of coarsening for residual confounding and model dependence","Wan F.","Res Sq [Preprint]. 2026 Apr 3:rs.3.rs-9076964. doi: 10.21203/rs.3.rs-9076964/v1.","Wan F","Res Sq","2026","2026/04/10","PMC13060533","","10.21203/rs.3.rs-9076964/v1"
"41988251","Experience with H anastomosis and its perioperative management protocol in minimally invasive esophagectomy: a propensity score-matched comparison with stapled non-enhanced recovery after surgery pathway","Zhang Z, Tang D, Hu Y, Zhao J, Xu Z.","J Thorac Dis. 2026 Mar 31;18(3):224. doi: 10.21037/jtd-2025-1-2589. Epub 2026 Mar 18.","Zhang Z","J Thorac Dis","2026","2026/04/16","PMC13077397","","10.21037/jtd-2025-1-2589"
"42067795","Optimization of surgical strategies and clinical efficacy analysis for infected classic preauricular fistula","Pan X, Lin X, Huo Y, Liu Y.","BMC Surg. 2026 May 1. doi: 10.1186/s12893-026-03794-3. Online ahead of print.","Pan X","BMC Surg","2026","2026/05/01","","","10.1186/s12893-026-03794-3"
"42095276","Abbreviated DAPT after PCI with drug coated balloons in acute coronary syndromes - insights from the SWEDEHEART registry","Håkansson A, von Koch S, Dahlgren A, Reitan C, Koul S, James S, Jernberg T, Grimfjärd P, Omerovic E, Angerås O, Erlinge D, Mohammad MA.","Eur Heart J Cardiovasc Pharmacother. 2026 May 7:pvag032. doi: 10.1093/ehjcvp/pvag032. Online ahead of print.","Håkansson A","Eur Heart J Cardiovasc Pharmacother","2026","2026/05/07","","","10.1093/ehjcvp/pvag032"
"42104833","Covariate adjustment in randomized clinical trials: From general theory to practical insights","Bannick MS, Yi Y, Ye T.","Clin Trials. 2026 May 9:17407745261442586. doi: 10.1177/17407745261442586. Online ahead of print.","Bannick MS","Clin Trials","2026","2026/05/09","","","10.1177/17407745261442586"
"42139302","Protective factors against acute kidney injury in children exposed to diethylene glycol-contaminated medicines: A case-case-control analysis from The Gambia outbreak","Barrow A, Bittaye M, Bittaye SO, Oguche SM.","PLOS Glob Public Health. 2026 May 15;6(5):e0005512. doi: 10.1371/journal.pgph.0005512. eCollection 2026.","Barrow A","PLOS Glob Public Health","2026","2026/05/15","PMC13178974","","10.1371/journal.pgph.0005512"
"42186819","Doubly Robust Estimators of the Restricted Mean Time in Favor Estimands in Individual- and Cluster-Randomized Trials","Fang X, Wang B, Tong G, Hu L, Ma S, Li F.","Stat Med. 2026 Jun;45(13-14):e70599. doi: 10.1002/sim.70599.","Fang X","Stat Med","2026","2026/05/26","","","10.1002/sim.70599"
"42192417","Effect comparison between a new hypofractionated radiotherapy regimen and conventional moderately hypofractionated regimen for localized prostate cancer","Han Y, Zhong S, Dong X, Zhang M, Li Y, Shou J, Bi X, Wang S, Zhang W, Lu N, Fang H, Tang Y, Chen B, Qi S, Niu L, Liu Y.","Radiat Oncol. 2026 May 26. doi: 10.1186/s13014-026-02852-7. Online ahead of print.","Han Y","Radiat Oncol","2026","2026/05/27","","","10.1186/s13014-026-02852-7"
