PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38100386","Extracorporeal cardiopulmonary resuscitation versus conventional cardiopulmonary resuscitation for patients with refractory out-of-hospital cardiac arrest: A retrospective propensity matching analysis","Sun P, Liu W, Li M, Zhang L, Liu LN, Liu ZX, Wang XD.","Perfusion. 2023 Dec 15:2676591231222365. doi: 10.1177/02676591231222365. Online ahead of print.","Sun P","Perfusion","2023","2023/12/15","","","10.1177/02676591231222365"
"38233102","Transporting randomized trial results to estimate counterfactual survival functions in target populations","Cao Z, Cho Y, Li F.","Pharm Stat. 2024 Jul-Aug;23(4):442-465. doi: 10.1002/pst.2354. Epub 2024 Jan 17.","Cao Z","Pharm Stat","2024","2024/01/17","PMC13005602","NIHMS2151148","10.1002/pst.2354"
"38465985","Estimation of the causal effects of time-varying treatments in nested case-control studies using marginal structural Cox models","Takeuchi Y, Hagiwawa Y, Komukai S, Matsuyama Y.","Biometrics. 2024 Jan 29;80(1):ujae005. doi: 10.1093/biomtc/ujae005.","Takeuchi Y","Biometrics","2024","2024/03/11","","","10.1093/biomtc/ujae005"
"38548610","[Pancreaticoduodenectomy combined with longitudinal pancreaticojejunostomy in the treatment of chronic pancreatitis: initial experience in 11 cases]","Wu S, Duan WX, Yang X, Wei WZ, Ma QY, Wang Z, Wu Z.","Zhonghua Wai Ke Za Zhi. 2024 May 1;62(5):412-418. doi: 10.3760/cma.j.cn112139-20231202-00251.","Wu S","Zhonghua Wai Ke Za Zhi","2024","2024/03/28","","","10.3760/cma.j.cn112139-20231202-00251"
"38591424","Dynamic borrowing of historical controls adjusting for covariates in vaccine efficacy clinical trials","Callegaro A, Luo Y, Karkada N, Zahaf T.","Pharm Stat. 2024 Sep-Oct;23(5):630-644. doi: 10.1002/pst.2384. Epub 2024 Apr 9.","Callegaro A","Pharm Stat","2024","2024/04/09","","","10.1002/pst.2384"
"38655786","The performance of marginal structural models for estimating risk differences and relative risks using weighted univariate generalized linear models","Austin PC.","Stat Methods Med Res. 2024 Jun;33(6):1055-1068. doi: 10.1177/09622802241247742. Epub 2024 Apr 24.","Austin PC","Stat Methods Med Res","2024","2024/04/24","PMC11162095","","10.1177/09622802241247742"
"38712282","Assessing Covariate Balance with Small Sample Sizes","Hripcsak G, Zhang L, Chen Y, Li K, Suchard MA, Ryan PB, Schuemie MJ.","medRxiv [Preprint]. 2025 Jul 17:2024.04.23.24306230. doi: 10.1101/2024.04.23.24306230.","Hripcsak G","medRxiv","2025","2024/05/07","PMC11071580","","10.1101/2024.04.23.24306230"
"38847059","Causal inference in the absence of positivity: The role of overlap weights","Matsouaka RA, Zhou Y.","Biom J. 2024 Jun;66(4):e2300156. doi: 10.1002/bimj.202300156.","Matsouaka RA","Biom J","2024","2024/06/07","","","10.1002/bimj.202300156"
"38869857","A comparison of random forest-based missing imputation methods for covariates in propensity score analysis","Lee Y, Leite WL.","Psychol Methods. 2024 Jun 13. doi: 10.1037/met0000676. Online ahead of print.","Lee Y","Psychol Methods","2024","2024/06/13","","","10.1037/met0000676"
"38884127","Doubly robust estimation and sensitivity analysis for marginal structural quantile models","Cheng C, Hu L, Li F.","Biometrics. 2024 Mar 27;80(2):ujae045. doi: 10.1093/biomtc/ujae045.","Cheng C","Biometrics","2024","2024/06/17","","","10.1093/biomtc/ujae045"
